 3.41800E-01  4.25858E-09  2.12929E-10  1.00000E+00 GENEVA.U 
 3.99500E-01  1.22266E-08  6.11329E-10  1.00000E+00 GENEVA.B1 
 4.19200E-01  1.24408E-08  6.22041E-10  1.00000E+00 GENEVA.B 
 4.19600E-01  1.27176E-08  6.35880E-10  1.00000E+00 TYCHO2.BT 
 4.43400E-01  1.24914E-08  6.24568E-10  1.00000E+00 JOHNSON.B 
 4.47500E-01  1.28773E-08  6.43867E-10  1.00000E+00 GENEVA.B2 
 5.30700E-01  1.07388E-08  5.36938E-10  1.00000E+00 TYCHO2.VT 
 5.39200E-01  1.08091E-08  5.40455E-10  1.00000E+00 GENEVA.V1 
 5.47500E-01  1.05368E-08  5.26841E-10  1.00000E+00 GENEVA.V 
 5.49300E-01  1.02059E-08  5.10297E-10  1.00000E+00 JOHNSON.V 
 5.76200E-01  1.01166E-08  5.05828E-10  1.00000E+00 GENEVA.G 
 6.89900E-01  7.27689E-09  2.18302E-09  1.00000E+00 USNOB1.R1 
 1.23930E+00  4.20745E-09  2.10372E-10  1.00000E+00 2MASS.J 
 1.24310E+00  4.40850E-09  2.20425E-10  1.00000E+00 JOHNSON.J 
 1.64420E+00  4.17616E-09  2.08808E-10  1.00000E+00 JOHNSON.H 
 1.64950E+00  4.08586E-09  2.04293E-10  1.00000E+00 2MASS.H 
 2.16390E+00  4.70906E-09  2.35453E-10  1.00000E+00 2MASS.KS 
 2.18790E+00  4.73962E-09  2.36981E-10  1.00000E+00 JOHNSON.K 
 3.36820E+00  4.34994E-09  3.68595E-10  1.00000E+00 WISE.W1 
 9.09950E+00  2.07889E-09  1.03945E-10  1.00000E+00 AKARI.S9W 
 1.20730E+01  1.63581E-09  8.17905E-11  1.00000E+00 WISE.W3 
 1.95050E+01  7.79875E-10  3.89938E-11  1.00000E+00 AKARI.L18W 
 2.21943E+01  7.04315E-10  3.52157E-11  1.00000E+00 WISE.W4 
 6.04093E+01  7.19590E-11  4.31754E-12  1.00000E+00 IRAS.F60 
 5.51967E+00  2.92135E-09  1.46067E-10  5.47861E-02 SpitzerIRS 
 5.54991E+00  2.88999E-09  1.44499E-10  5.44874E-02 SpitzerIRS 
 5.58015E+00  2.86387E-09  1.43193E-10  5.41923E-02 SpitzerIRS 
 5.61039E+00  2.85483E-09  1.42742E-10  5.38993E-02 SpitzerIRS 
 5.64063E+00  2.85353E-09  1.42677E-10  5.36288E-02 SpitzerIRS 
 5.67088E+00  2.86244E-09  1.43122E-10  5.33252E-02 SpitzerIRS 
 5.70112E+00  2.84698E-09  1.42349E-10  5.30424E-02 SpitzerIRS 
 5.73136E+00  2.81974E-09  1.40987E-10  5.27623E-02 SpitzerIRS 
 5.76160E+00  2.77211E-09  1.38606E-10  5.24856E-02 SpitzerIRS 
 5.79184E+00  2.73455E-09  1.36727E-10  5.22287E-02 SpitzerIRS 
 5.82209E+00  2.71575E-09  1.35788E-10  5.19403E-02 SpitzerIRS 
 5.85233E+00  2.69844E-09  1.34922E-10  5.16710E-02 SpitzerIRS 
 5.88257E+00  2.68124E-09  1.34062E-10  5.14061E-02 SpitzerIRS 
 5.91281E+00  2.68920E-09  1.34460E-10  5.11434E-02 SpitzerIRS 
